,name,online_order,book_table,rate,dish_liked,approx_cost(for two people)
1178,Pizza Palace,0,No,NEW,,300
1179,Simply Indian,0,Yes,3.9outof5,"Cocktails, Ghee Roast Mutton, Mocktails, Chicken Biryani, Malai Kofta, Chicken Chatpata, Fish",800
1180,Delhi Biryani Cafe,0,No,3.5outof5,,250
1181,Rithika's Kitchen,0,No,3.8outof5,"Mutton Curry, Chicken Fry, Chicken Biryani, Chicken Curry",350
1182,Punjabi Times,0,Yes,4.1outof5,"Chicken Tikka, Kheer, Butter Chicken, Dal Makhani, Makke Ki Roti, Lassi, Paratha","1,000"
1183,Tarbouche,0,No,NEW,,300
1184,Omleterian,0,No,,,200
1185,Chai Point,0,No,3.6outof5,"Ginger Tea, Ginger Chai, Banana Cake, Masala Chai, Egg Sandwich, Vada Pav",250
1186,Cafe Coffee Day,0,No,3.7outof5,,900
1187,Cravy Wings,0,No,4.2outof5,"Burgers, Chicken Popcorn, Peri Peri Chicken, Wings, Peri Peri Burger, Fries, Crunchy Veg Burger",400
1188,Funky Punjab,0,No,3.9outof5,"Lassi, Chole, Palak Paneer, Chaap, Paneer Tikka, Panneer Butter Masala, Paratha",500
1189,A1 Garam Masala,0,No,3.6outof5,,600
1190,Punjabi Corner,0,No,3.9outof5,"Paratha, Chicken Curry",250
1191,Guru Palace,0,No,3.1outof5,,450
1192,#refuel,0,No,3.7outof5,"Thick Shakes, Sandwiches, Pasta, Mocktails",400
1193,Biggies Burger 'n' More,0,No,4.1outof5,"Burgers, Mojito, Lamb Burger, French Fries, Hot Dog, Bbq Burger, Wedges",650
1194,Zeeshan,0,No,3.1outof5,"Firni, Rolls, Egg Roll, Chicken Biryani, Mutton Biryani, Calcutta Biryani, Haleem",600
1195,Ambara Gardenia,0,Yes,3.8outof5,"Fish Fry, Crab Sukha, Chicken Biryani, Fish Curry, Murgh Ghee Roast, Roti, Naan",800
1196,LayerBite,0,No,3.8outof5,,450
1197,Five Star Chicken,0,No,3.2outof5,,250
1198,Bhavani Chats,0,No,3.6outof5,,100
1199,Tandoor Chai House,0,No,NEW,,200
1200,Shawarma Inc,0,No,3.2outof5,,250
1201,More Pizza,0,No,3.8outof5,"Pizza, Garlic Bread, Chicken Lasagne",450
1202,Appana Restaurant,0,No,NEW,,300
1203,Butterly,0,No,3.9outof5,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake",450
1204,Crafted Plate,0,Yes,4.2outof5,"Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda",600
1205,Shetty's Kitchen,0,No,3.7outof5,"Sea Food, Neer Dosa",600
1206,Machali Port,0,No,3.9outof5,"Sea Food, Anjal Masala Fry, Fish Curry, Thali, Neer Dosa",750
1207,Naati Manae,0,No,3.1outof5,,500
1208,Bottle Genie,0,No,,,350
1209,Mad Over Biryani,0,No,3.3outof5,,600
1210,Garma Garam,0,No,3.2outof5,"Chicken Biryani, Butter Chicken",350
1211,Sambram Biriyani Paradise,0,No,3.5outof5,,600
1212,Mr. Meetharam,0,No,3.2outof5,,150
1213,The Coastal Crew by Fujian on 24th,0,Yes,4.2outof5,"Sea Food, Mocktails, Noodles, Murgh Ghee Roast, Cocktails, Tom Yum Soup, Spring Roll","1,100"
1214,BIB - Breakfast in the Box,0,No,3.8outof5,"Chicken Burger, English Breakfast, Corn Sandwich, French Fries, Bacon Fry, Beef Burger, Omelette",600
1215,Angel Restaurant,0,No,2.8outof5,,450
1216,Wow Momo,0,No,3.3outof5,,300
1217,Pizza Da Dhaba,0,No,2.9outof5,,400
1218,Kalpavruksha,0,No,3.9outof5,,300
1219,Innerchef,0,No,,,500
1220,Juice Land,0,No,3.9outof5,,300
1221,Bombay Sandwich Company,0,No,,,400
1222,Tandoor And Spice,0,No,4.0outof5,"Egg Biryani, Tandoori Chicken, Chicken Biryani, Paneer Tikka, Mutton Biryani, Noodles, Dal Tadka",550
1223,Kitchen24,0,No,NEW,,300
1224,Rock Stone Ice Cream Factory,0,No,4.0outof5,"Icecream Cake, Brownie, Waffles, Chocolate Icecreams, Thick Shakes",230
1225,Paratha Plaza,0,No,3.8outof5,"Aloo Paratha, Manchurian",250
1226,Krishna Vijayashree,0,No,3.5outof5,,700
1227,Soup Station,0,No,3.6outof5,,250
1228,Tasty Point,0,No,3.3outof5,,300
1229,Natural Mumbai Kulfi,0,No,3.5outof5,,130
1230,Namma Kudla,0,No,3.9outof5,"Sea Food, Neer Dosa, Fish, Crab Sukha, Biryani, Chicken Thali, Chicken Meal",400
1231,Triveni,0,No,3.6outof5,,600
1232,Wangs Kitchen,0,No,3.0outof5,"Noodles, Momos","1,000"
1233,RK Fresh Food,0,No,3.5outof5,,300
1234,Alif Restaurant,0,No,3.6outof5,,600
1235,Dine One One Restaurant,0,No,3.6outof5,,500
1236,Pallavas Veg Cuisine,0,No,3.6outof5,,600
1237,The Food Cottage,0,No,3.7outof5,,350
1238,Healthie,0,No,,,600
1239,Brundhavana Pure Veg,0,No,3.7outof5,,500
1240,Spice Up,0,No,3.8outof5,"Chicken Lollipop, Vegetable Biryani, Noodles, Chicken Noodle, Clear Soup, Hot Pot, Coriander Chicken",600
1241,North Chinese Centre,0,No,,,250
1242,Suryawanshi,0,No,3.7outof5,,700
1243,M-Aura Kitchen Cafe & More,0,No,,,400
1244,Perch,0,No,NEW,,350
1245,Tempteys,0,No,4.2outof5,"Thick Shakes, Oreo Milkshake, Gelato, Oreo Shake, Choco Brownie, Caramel Coffee, Choco Shake",500
1246,World In A Bowl,0,No,,,600
1247,DeliBox.in,0,No,3.7outof5,,150
1248,FRYBIES,0,No,3.3outof5,,350
1249,Crumb Together,0,Yes,4.1outof5,"Stuffed Chicken, Malai Broccoli, Cocktails, Salad, Mocktails, Tomato Soup, Biryani","1,200"
1250,The Foodyz,0,No,3.7outof5,"Poha, Tea, Paratha",500
1251,Bean D'er Cafe,0,No,3.5outof5,,250
1252,Chaat Chatore,0,No,3.1outof5,,300
1253,Black Mug Cafe,0,No,3.7outof5,Coffee,300
1254,Taste Of Kolkata,0,No,3.1outof5,,400
1255,Y Not Restaurant,0,No,3.1outof5,,300
1256,24/7 Food Service,0,No,3.0outof5,,300
1257,Kanti Bakes & Flakes,0,No,,,300
1258,Meat And Eat,0,No,3.7outof5,"Burgers, Chicken Wings",500
1259,China Town 07,0,No,NEW,,300
1260,Modern Restaurant,0,No,3.0outof5,,450
1261,Vinaya Coffee Moments,0,No,3.7outof5,"Filter Coffee, Pizza, Pasta",450
1262,Burrito Boys,0,No,3.0outof5,,400
1263,The little Kitchen,0,No,,,300
1264,Trippy Paradise,0,No,2.6outof5,,900
1265,City Cafe,0,No,,,200
1266,Biryani Magic,0,No,3.5outof5,,300
1267,YumYumDilli,0,No,,,500
1268,Nagarjuna,0,No,4.2outof5,"Andhra Meal, Mutton Biryani, Pepper Chicken, Veg Thali, Chicken Guntur, Raita, Chicken Kebab",800
1269,Laddoos,0,No,3.4outof5,"Chaat, Panipuri, Lassi, Gol Gappe, Paratha, Pav Bhaji, Samosa",250
1270,Smoke Oil Salt,0,No,NEW,,850
1271,Momo King,0,No,NEW,,200
1272,New Prashanth Hotel,0,No,3.1outof5,"Mutton Biryani, Chicken Biryani",750
1273,Waffle Stories,0,No,4.0outof5,"Waffles, Brownie Sundae",300
1274,Late Night,0,No,3.7outof5,"Panneer Butter Masala, Manchurian, Noodles, Tandoori Roti, Naan, Paratha, French Fries",500
1275,Kettle & Kegs,0,No,3.3outof5,,200
1276,Waffle Walle,0,No,4.3outof5,"Liege Waffle, Vanilla Ice Cream, Chocolate Waffles, Chocolate Drink, Crunchy Waffles, Chocolate Icecreams, Belgian Waffles",500
1277,Dakshin Cafe,0,No,4.1outof5,"Vada, Masala Dosa, Filter Coffee, Kesari Bath, Kharabath, Open Dosa",100
1278,Shake It Off,0,No,4.0outof5,"Thick Shakes, Maggi, Peri Peri Fries, Sandwich, Momos",600
1279,Bombay Kulfi,0,No,3.7outof5,,150
1280,Chaat Central,0,No,3.3outof5,,300
1281,Two Friends Cauldron,0,Yes,4.1outof5,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza",700
1282,Bun Town,0,No,4.0outof5,"Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Donut, Cup Cake",500
1283,INDULGE by InnerChef,0,No,,,400
1284,Garden Fresh,0,No,3.9outof5,,200
1285,Dhabeliwala,0,No,3.8outof5,,250
1286,Rayaan's BBQ,0,No,3.3outof5,,350
1287,Cafe Zuppa,0,No,NEW,,450
1288,Chaat Junction,0,No,3.7outof5,,200
1289,Asharfilal,0,No,3.5outof5,,150
1290,Street Foods by Punjab Grill,0,No,3.6outof5,,800
1291,Tiwari's Ghee Paratha and Chats,0,No,3.2outof5,,200
1292,Spurthi Foods,0,No,3.7outof5,,300
1293,Melting Pot at Woodrose,0,No,3.7outof5,,800
1294,Pot Biryani,0,No,3.1outof5,Chicken Biryani,600
1295,Thanco's Natural Ice Cream,0,No,3.6outof5,,450
1296,Mango Tree- The Beer Garden,0,Yes,4.1outof5,"Dragon Chicken, Mutton Biryani, Mocktails, Dal Makhani, Rumali Roti, Butter Naan, Paneer Tikka","1,200"
1297,Dessi Cuppa,0,No,3.4outof5,,300
1298,Halli Mane MUDDE OOTA,0,No,3.5outof5,,300
1299,Lyengar's Cakes N Cookies,0,No,,,400
1300,Eat & Joy Restaurant,0,No,3.0outof5,,300
1301,YumYumSouth,0,No,,,600
1302,Wow Vada Pav,0,No,3.3outof5,,150
1303,Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,0,No,,,500
1304,The Jade Kitchen,0,No,4.0outof5,"Manchow Soup, Noodles, Dragon Rolls, Honey Chilli Potatoes, Spring Roll",400
1305,Krishna Vaibhava,0,No,3.5outof5,,350
1306,Lassi Shop,0,No,,,80
1307,Sandwichwallas,0,No,3.6outof5,,200
1308,Drunken Monkey,0,No,4.4outof5,"Chicken Tikka Sandwich, Hot Chocolate Brownie, Red Velvet Shake, Chicken Sandwiches, French Fries, Cheese Sandwich, Irish Cream Coffee",400
1309,Woodee Pizza,0,No,2.7outof5,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes",500
1310,Nandhanus Rasoi,0,No,3.4outof5,,200
1311,Donne Biriyani Mane,0,No,3.2outof5,,350
1312,Fish And Dish,0,No,3.6outof5,,350
1313,Miss Momo,0,No,3.2outof5,,250
1314,Funky Punjab,0,No,3.9outof5,"Roti, Dal Makhani, Lassi, Panneer Butter Masala, Kulcha, Masala Papad, Butter Chicken",400
1315,Intalia,0,No,3.6outof5,"Pasta, Garlic Bread, Salads, Chicken Lasagne, Blueberry Cheesecake, Salad, Thin Crust Pizza",800
1316,Chicken County Restaurant,0,No,3.5outof5,,400
1317,Velvet Kitchen,0,No,3.5outof5,,600
1318,Hotel Aradhana,0,No,3.7outof5,"Akki Rottis, Neer Dosa",300
1319,The Chervil,0,No,4.2outof5,"Peri Peri Chicken Wings, Mix Grill Sizzler, Fish, Murgh Ghee Roast, Biryani, Caramel Custard, Paneer Tikka Masala","1,000"
1320,Eatsomnia,0,No,NEW,,500
1321,Sri Rajasthani Foods,0,No,3.6outof5,,200
1322,New Royal Treat,0,No,2.8outof5,"Roti, Chicken Biryani",350
1323,I Cool,0,No,4.0outof5,Shawarma,150
1324,The Kitchen,0,No,NEW,,800
1325,Mahek Pizza,0,No,3.9outof5,,400
1326,Asha Sweets Centre,0,No,3.9outof5,"Rabri, Panipuri, Badam Milk, Kachori, Moong Dal Halwa",250
1327,KC Das- Sweet World,0,No,3.3outof5,,200
1328,Stoned Monkey,0,No,3.9outof5,"Coffee, Waffles, Hot Chocolate Fudge, Cheesy Garlic Bread",500
1329,Panther Cafe,0,No,3.5outof5,,200
1330,Udupi Upachar,0,No,3.3outof5,,300
1331,Lassi Ghar,0,No,NEW,,150
1332,Authentic Aandhra,0,No,NEW,,300
1333,Juicy Momos,0,No,3.1outof5,,250
1334,Roots n Fruits,0,No,3.6outof5,,250
1335,Indian Desi Momo,0,No,,,200
1336,Kaizen Wellness Kitchen,0,No,3.7outof5,,800
1337,Big Mishra Pedha,0,No,3.3outof5,,300
1338,Mad Over Donuts,0,No,3.1outof5,,450
1339,Kolkata Famous Kati Rolls,0,No,3.1outof5,,100
1340,Vinaya Cafe,0,No,3.7outof5,"Coffee, Masala Dosa",200
1341,RBP Greens Garden,0,No,2.7outof5,,700
1342,Supreme Biryani,0,No,,,400
1343,Dazu Momoz,0,No,3.1outof5,,200
1344,Desi Dhaba,0,No,3.3outof5,,400
1345,World of Waffles,0,No,3.9outof5,"Waffles, Nutella Pancakes, Nutella Waffle, Mexican Fries, Chocolate Overload, Chocolate Fondue, Ferrero Rocher",400
1346,Pika's Kitchen,0,No,3.4outof5,,800
1347,Dilli ??,0,No,,,500
1348,Lassi Cafe,0,No,3.4outof5,,150
1349,The London Shakes,0,No,NEW,,400
1350,New Mogul Empire,0,No,3.4outof5,,300
1351,Atithi Biryani Corner,0,No,3.3outof5,,200
1352,Oottupura Family Restaurant,0,No,3.4outof5,"Appam, Tea, Chicken Curry, Kadala Curry, Fish, Egg Curry, Idiyappam",400
1353,Tisano Cafe,0,No,3.8outof5,,500
1354,Yumme Veg,0,No,3.6outof5,,200
1355,Shree Guru Raghavendra Chats Chintamani Special,0,No,3.6outof5,,200
1356,Vyanjan,0,No,3.9outof5,"Poha, Jalebi, Paratha, Bhindi Masala, Kachori, Puri Sabzi, Samosa",300
1357,Havmor,0,No,3.5outof5,,200
1358,Sri Sankara Cafe,0,No,3.6outof5,,100
1359,Bhaijaan Barbeques,0,No,3.4outof5,,200
1360,Namana Garden,0,No,,,250
1361,Sri Krishna Sagar,0,No,3.4outof5,,300
1362,Chatter Platter,0,No,3.5outof5,,300
1363,Momo Time,0,No,NEW,,600
1364,Bikaneri Sweets,0,No,3.4outof5,,250
1365,Watson's,0,Yes,4.0outof5,"Beer, Pizza, Veg Starter, Martini, Mojito, Cocktails, Crispy Corn","1,300"
1366,Sri Nandi Grand,0,No,3.4outof5,,300
1367,Chicken Man,0,Yes,3.8outof5,"Chicken Grill, Roast Chicken, Chicken Wings, Sweet Potato Mash, Pulled Chicken Burger, Sweet Potato Fries",400
1368,Only Sharjah,0,No,NEW,,200
1369,Chef Baker's,0,No,3.6outof5,,450
1370,Sree Ganesha Fruits & Juice,0,No,3.4outof5,,100
1371,Goli Vada Pav No. 1,0,No,3.2outof5,,200
1372,Nandhana Palace,0,Yes,4.1outof5,"Chicken Guntur, Hyderabadi Chicken Biryani, Andhra Meal, Mutton Biryani, Vegetable Biryani, Andhra Style Chilli Chicken, Mojito",800
1373,Happy Eats,0,No,NEW,,300
1374,Biryani Nights,0,No,3.6outof5,,400
1375,Thejas Bhavan,0,No,3.5outof5,,400
1376,Kababish Restaurant,0,No,3.6outof5,,700
1377,Graffitea,0,No,3.7outof5,,200
1378,Gappe,0,No,3.8outof5,,200
1379,On The Nose,0,No,3.8outof5,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup",600
1380,Juicy & Spicy,0,No,3.1outof5,,150
1381,Eat Repeat Express,0,No,3.2outof5,,700
1382,TFI - The Fresh Ice Cream,0,No,3.2outof5,,400
1383,Mirch Masala,0,No,3.4outof5,,500
1384,Just Chill,0,No,3.4outof5,,250
1385,Gruhalakshmi Home Foods,0,No,,,250
1386,BEIR,0,No,NEW,,800
1387,Bengalooru Tiffany's,0,No,3.0outof5,,400
1388,Udupi Thaja Thindi,0,No,2.9outof5,"Masala Dosa, Vada, Filter Coffee",250
1389,Chaat Cafee,0,No,,,150
1390,Baba Ka Dhaba,0,No,3.7outof5,"Paratha, Butter Naan, Thali, Tandoori Roti, Lassi",400
1391,Hot Burg,0,No,3.5outof5,,200
1392,Northern Bites,0,No,3.3outof5,,400
1393,Hotel Smile,0,No,3.1outof5,,400
1394,Roll Wala,0,No,3.3outof5,,300
1395,Natural Ice Cream,0,No,4.3outof5,"Chocolate Almond, Tender Coconut Ice Cream, Choco Almond, Coffee Walnut, Custard Apple",150
1396,Biriyani Mane,0,No,3.7outof5,"Roti, Vegetable Biryani, Chicken Biryani",700
1397,F3 Food Fun Fiesta,0,No,3.3outof5,,500
1398,Churchill's,0,Yes,4.1outof5,"Cocktails, Pasta, Hara Bhara Kebab, Peppy Paneer, Paneer Pizza, Peri Peri Prawn, Fiery Paneer","1,100"
1399,Mr. Cane,0,No,,,100
1400,Ruchi Foods,0,No,,,400
1401,Kulkarni's New Uttara Karnataka Food Speciality Stores,0,No,3.4outof5,,250
1402,The Hungers Zone,0,No,3.8outof5,,300
1403,Brew Point,0,No,3.6outof5,,500
1404,The Chocolate Room,0,No,3.9outof5,"Brownie, Coffee, Hot Chocolate, Garlic Pops, Chocolate Waffles, Chocolate Avalanche",400
1405,Aramane Restaurant,0,Yes,2.9outof5,Afghan Chicken,800
1406,Cookie Man,0,No,NEW,,150
1407,Hunger2Eat,0,No,3.8outof5,,400
1408,BBQ Ride 46,0,No,3.4outof5,,200
1409,Bawarchi Inn,0,No,3.1outof5,"Dum Biryani, Chicken Biryani, Rice, Roti, Mutton Biryani",600
1410,Ruh's Cafe,0,No,4.1outof5,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler",500
1411,Eatery Have U Been,0,No,3.4outof5,,500
1412,Mojo Pizza - 2X Toppings,0,No,4.2outof5,"Chocolava Cake, Pepperoni Pizza, Veggie Pizza, Bbq Chicken, Paneer Tikka, Cheesy Garlic Bread, Cheese Burst Crust",600
1413,Upahar Banashree,0,No,3.4outof5,,400
1414,Petoo,0,No,NEW,,400
1415,Me And My Cake,0,No,3.1outof5,,500
1416,Bhojon Tripti,0,No,2.9outof5,,300
1417,New South Corner,0,No,3.7outof5,,300
1418,Khana Khazana,0,No,3.7outof5,,400
1419,China Tang,0,No,3.7outof5,,600
1420,California Burrito,0,No,4.0outof5,"Rice Bowl, Nachos, Rice Bowls, Salad, California Burrito, Tacos, Salads",400
1421,Hungry Haters,0,No,NEW,,300
1422,Tandoor Garden,0,No,3.6outof5,"Tandoori Chicken, Butter Naan, Kadai Paneer, Pepper Chicken",350
1423,Caffe Pascucci,0,Yes,4.0outof5,"Coffee, Cappuccino, Sandwiches, Salads, Asparagus Soup, Woodfire Pizza, Bruschettas","1,300"
1424,Freeze It,0,No,3.6outof5,,300
1425,Meal Square,0,No,3.2outof5,,600
1426,Chaitanya Cafe,0,No,3.9outof5,"Coffee, Pav Bhaji, Masala Dosa, Vada Sambar",300
1427,Anand Sweets and Savouries,0,No,4.1outof5,"Chole Bhature, Thali, Papdi Chaat, Shahi Paneer",400
1428,Narayany Pure Veg,0,No,,,250
1429,Tasty Jigarthanda,0,No,3.4outof5,,150
1430,Berrylicious,0,No,3.8outof5,"Macaroon, Brownie Sundae, Waffles",400
1431,RCS Kitchen,0,No,3.3outof5,,500
1432,Pappu Da Dhaba,0,No,3.0outof5,"Lassi, Chai, Paratha",400
1433,Smoke - The Sizzler House,0,No,3.8outof5,"Chicken Sizzler, Garlic Bread, Potato Wedges, Vanilla Ice Cream, Pasta, French Fries","1,100"
1434,Sandwich Shop,0,No,2.9outof5,,400
1435,Joon Restaurant,0,No,3.7outof5,,400
1436,Shree Udupi Grand,0,No,3.8outof5,,600
1437,Snack Knack,0,No,3.0outof5,,200
1438,Chung Wah Opus,0,No,3.0outof5,"Rice, Noodles, Chop Suey",650
1439,Chef & Dine,0,No,3.2outof5,,650
1440,GFC Biryani,0,No,,,300
1441,Once In Nature,0,No,3.7outof5,,300
1442,Manjushree Upahara,0,No,3.8outof5,,150
1443,Hotel Annapoorna,0,No,3.2outof5,,400
1444,Dream a Dozen,0,No,4.3outof5,"Cup Cake, Cake Pops, Chocolate Truffle Cake, Brownie",300
1445,Bread Crumbs Bakery,0,No,4.0outof5,"Samosa, Egg Puff, Paneer Puff, Chocolate Truffle",250
1446,Nite Out,0,No,3.9outof5,"Biryani, Noodles",500
1447,Le Centre Jeunesse,0,No,,,400
1448,Cupcake Bliss,0,No,3.5outof5,,250
1449,Armaani Caffe,0,No,3.5outof5,,250
1450,Muddhe Bytes,0,No,3.4outof5,,300
1451,The Paratha Stories,0,No,NEW,,250
1452,Food Court,0,No,,,300
1453,Calvin's,0,No,NEW,,800
1454,Yummy Momos,0,No,NEW,,200
1455,Bombay Kulfis,0,No,3.5outof5,,200
1456,Willys Top Cafe,0,No,4.0outof5,"Coffee Shake, Pasta, Buffalo Wings, Sandwich, Chicken Wings, Burgers, Fries",750
1457,Mist n Creams,0,No,3.7outof5,,400
1458,Papacream,0,No,3.7outof5,,350
1459,Woody's,0,No,2.6outof5,"Curd Rice, Pongal, Coffee, Thali, Noodles, Pav Bhaji, Masala Dosa",650
1460,JP Fish Land,0,No,3.6outof5,,300
1461,Pepper Crown Restaurant,0,No,3.2outof5,,700
1462,Pizza Paradise,0,No,3.6outof5,,500
1463,Cakeport,0,No,,,400
1464,The Curry Hut Plus,0,No,3.4outof5,"Thai Chicken, Paratha, Mutton Fry",400
1465,Brews N Bites,0,No,2.7outof5,Thin Crust Pizza,650
1466,Skytouch Le Cafe,0,No,3.7outof5,"Pizza, Pasta, Bubble Tea, Brownie, Pancakes, Cheesy Garlic Bread, Chocolate Waffles",700
1467,Malabar Mess,0,No,3.7outof5,,250
1468,Malabar Cafe,0,No,3.3outof5,,400
1469,Tangra Indo - Chinese Cuisine,0,No,3.6outof5,,400
1470,Juice Junction,0,No,2.9outof5,,150
1471,Mudpipe Cafe,0,Yes,3.9outof5,"Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers",800
1472,Xpress Chai,0,No,3.3outof5,,150
1473,Vaho Kafe & Pressery,0,No,3.9outof5,"Salad, Chicken Curry, Peri Peri Chicken, Thai Red Curry, Momos, Chicken Satay, Pasta",500
1474,Zhangs Classic,0,No,2.6outof5,"Chowmein, Chicken Manchow Soup, Momos, Dragon Rolls, Chicken Momo, Hot Pot, Sweet Corn Chicken Soup",600
1475,Biryani Rooh-e-Khaas,0,No,NEW,,400
1476,Guru Greens,0,No,3.8outof5,"Tandoori Chicken, Beer, Pepper Chicken, French Chicken",550
1477,D View Cafe,0,No,4.0outof5,"Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings","1,000"
1478,The Cuboidal,0,No,3.6outof5,,300
1479,Delifusion - Hunger Sorted,0,No,3.3outof5,,500
1480,Flavour of China,0,No,3.8outof5,"Spring Roll, Chilli Chicken, Chowmein, Sweet Corn Chicken Soup, Dragon Chicken, Hakka Noodles, Chop Suey",550
1481,Al-Marhaba Restaurant,0,No,NEW,,400
1482,Gujrati Mess,0,No,3.6outof5,,200
1483,Heaven 2 Oven,0,No,NEW,,300
1484,Cake-O-Mania,0,No,3.4outof5,,300
1485,The Park Inn Restaurant,0,No,3.0outof5,,450
1486,Green Go,0,No,NEW,,200
1487,The Cravery,0,No,2.6outof5,,500
1488,Eagle Ridge,0,Yes,3.2outof5,,700
1489,Vidya Cafe,0,No,3.2outof5,,300
1490,Northern Bites,0,No,NEW,,350
1491,Kabab Treat,0,No,2.8outof5,"Biryani, Tandoori Chicken, Chicken Grill, Shawarma Roll",500
1492,Limra Hotel,0,No,3.3outof5,,300
1493,Punjabi Unplugged,0,No,NEW,,500
1494,Cafe Arabica,0,No,3.8outof5,"Coffee, French Fries, Lemon Tea, Veg Sandwich",700
1495,Bangalore Pizza & Pulse Juice Bar,0,No,,,500
1496,Pizza On The Way,0,No,NEW,,300
1497,Smoor,0,No,3.6outof5,,900
1498,Kafe Nook,0,No,3.6outof5,,300
1499,Kumbha Bhojanam,0,No,3.6outof5,,300
1500,Yummerica Fries,0,No,3.3outof5,,300
1501,Frozen Bottle,0,No,3.6outof5,,400
1502,Casa Piccosa,0,Yes,4.1outof5,"Cocktails, Cajun Chicken, Beer, Salads, Chilli Babycorn, Chicken Tacos, Murgh Platter","1,100"
1503,Rolls On Wheels,0,No,3.4outof5,,300
1504,Bake Addiction,0,No,4.0outof5,"Cup Cake, Swiss Roll",500
1505,Tongue Twisters,0,No,3.5outof5,"Veg Thali, Fish Thali",350
1506,Hot Rolls & House Of Kebabs,0,No,3.1outof5,,200
1507,Aami Kolkata,0,No,3.3outof5,,600
1508,Food Times,0,No,,,300
1509,Vaathsalya Millet Cafe,0,Yes,4.1outof5,"Khichda, Thali, Jowar Roti, Cucumber Juice, Brownie, Palak Soup, Buttermilk",500
1510,Chaatimes,0,No,4.1outof5,,250
1511,Hungry Buddies,0,No,3.3outof5,,150
1512,Goodness! Beverages,0,No,,,250
1513,The Chaat Shop,0,No,3.2outof5,,100
1514,TheRiceBowl.In,0,No,3.4outof5,,200
1515,Guru Garden,0,No,2.9outof5,Biryani,450
1516,Cakes By M,0,No,3.4outof5,,500
1517,Brewz Coffee,0,No,3.0outof5,"Coffee, Sandwiches, Cappuccino",650
1518,Fritz Haber,0,No,3.4outof5,,450
1519,Athithi,0,No,2.8outof5,Dum Biryani,650
1520,Shee-Sha Cafe,0,Yes,3.6outof5,,800
1521,Favourite Restaurant,0,No,,,300
1522,Melt - Eden Park,0,Yes,4.0outof5,"Tandoori Chicken, Biryani, Paneer Tikka, Chicken Curry, Plain Rice, Cheese Naan, Malaysian Noodles","1,000"
1523,Roll N Rock,0,No,3.7outof5,,400
1524,Smooth Blender,0,No,3.4outof5,,300
1525,Sri Bhagya Grand,0,No,3.4outof5,"Pav Bhaji, Tea, Tandoori Roti, Coffee, Malai Kofta, Vada, Curd Rice",450
1526,Shree Guru Juice 'N' Ice,0,No,3.3outof5,,250
1527,Bhavya Military Hotel,0,No,3.5outof5,,300
1528,Neals Cafe,0,No,3.1outof5,,550
1529,Flavorsome Bakes,0,No,4.0outof5,"Cup Cake, Pineapple Cake",800
1530,Bake-ooh,0,No,3.7outof5,,350
1531,The Yummy Tummy,0,No,3.5outof5,,200
1532,Mast Kalandar,0,No,2.4outof5,"Lassi, Raita, Chole, Dal Makhani, Gulab Jamun, Buttermilk",450
1533,One KG,0,No,,,400
1534,Sultan's Biryani,0,No,3.0outof5,,700
1535,Halli Sogasu,0,No,3.0outof5,,600
1536,4671 Indian Coastal Cuisine,0,No,,,600
1537,Bake Feast,0,No,,,300
1538,Crepe Nation,0,No,3.8outof5,,300
1539,RICE BAR,0,No,3.1outof5,,500
1540,Kanika Biryani Paradise,0,No,3.4outof5,,700
1541,Resto,0,No,3.7outof5,,350
1542,New Tandoori Point,0,No,3.3outof5,,600
1543,Shiv Sagar,0,No,2.9outof5,"Masala Dosa, Chole Bhature, Coffee",250
1544,Little Shangai,0,No,3.3outof5,,400
1545,Nadella's Kitchen,0,No,3.3outof5,,300
1546,Uncle's Kitchen,0,No,2.8outof5,,450
1547,Maruthi Bar & Restaurant,0,No,,,800
1548,Coastal Inn,0,No,3.4outof5,"Biryani, Sea Food, Fish Thali",800
1549,Mom's Momos,0,No,3.3outof5,,300
1550,Aishwarya Parkland,0,No,2.9outof5,,500
1551,Slice of Spice,0,No,3.1outof5,,400
1552,Bao and Rolls,0,No,3.6outof5,,250
1553,Andhra Bhojanam,0,No,3.6outof5,,600
1554,Kedia's Fun Food,0,No,,,200
1555,Iyengar's Cakes and Cookies,0,No,,,200
1556,Kanchan Dhaba,0,No,3.2outof5,,350
1557,Encyclofoodia,0,No,3.9outof5,,350
1558,Bella?s Kitchen,0,No,2.9outof5,,600
1559,Food Feast Multicusine Restaurant,0,No,3.3outof5,,600
1560,Bangalir Rannaghar,0,No,2.9outof5,Noodles,250
1561,Sai Samosa & Chat Corner,0,No,3.3outof5,,200
