name,online_order,book_table,rate,dish_liked,approx_cost(for two people)
Hotel Godavari,0,No,3.9outof5,,500
Jose's Mess,0,No,4.3outof5,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry",300
Dadi's Dum Biryani,0,Yes,4.1outof5,"Butter Chicken, Panner Tikka, Chicken Biryani, Chicken Lollipop, Chicken Tikka Masala, Dum Biryani, Tangdi Kabab",800
Capsicum Family Restaurant,0,No,3.8outof5,Mutton Biryani,800
Polamma's Mess,0,No,4.2outof5,"Lemon Chicken, Hyderabadi Biryani, Chicken Biryani, Chicken Fry, Andhra Meal, Thali, French Chicken",300
Biryani Spot,0,No,3.5outof5,,300
KKR Foodies,0,No,3.7outof5,,400
Savoury Restaurant,0,No,3.9outof5,"Shawarma, Bamboo Biryani, Chicken Shawarama, Chicken Grill, Chicken Kebab, Fish, Appam",800
Bathinda Junction,0,No,3.9outof5,"Lassi, Shikanji, Dal Makhani, Makke Ki Roti, Butter Chicken, Paneer Punjabi, Chicken Curry",600
Pecos Hideout,0,Yes,4.0outof5,"Chicken Steak, Beer, Beef Steak, Cheese Nachos, Honey Chilli Potatoes, French Fries, Masala Peanuts","1,100"
Ruh's Cafe,0,No,4.1outof5,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler",500
Swad Restaurant,0,No,3.7outof5,"Thali, Paratha, Dal Kichadi",550
King Punjabi Restaurant,0,No,3.8outof5,,300
New Kabab Plaza,0,No,3.7outof5,"Shawarma Roll, Chicken Grill, Tandoori Chicken, Chicken Wings, Ghee Rice, Pulpy Grape Juice",500
A2B - Adyar Ananda Bhavan,0,No,3.8outof5,"Tea, Coffee, Rasmalai, Raj Kachori, Masala Dosa, Vegetable Biryani, Vada Sambar",400
Alankrutha,0,No,3.9outof5,"Chicken Biryani, Hyderabadi Biryani, Dum Biryani",500
Thottathil Restaurant,0,No,3.8outof5,,300
Bengali Fun Foods,0,Yes,3.9outof5,,600
Birinz,0,No,4.1outof5,"Chicken Boneless Biryani, Hyderabadi Biryani, Egg Chilli, Butter Chicken, Tomato Soup, Mutton Biryani, Paneer Biryani",700
Sankranthi Veg Restaurant,0,No,3.0outof5,"Tea, Vada Sambar, Masala Dosa",600
Hiyar Majhe Kolkata,0,No,4.0outof5,"Radhaballavi, Biryani, Egg Noodles, Egg Roll, Fish Curry, Egg Devils, Thali",400
Royal View Restaurant,0,No,3.7outof5,,700
Momoz,0,No,4.0outof5,"Momos, Noodles, Thukpa, Crispy Honey Chicken, Manchow Soup, Manchurian, Chicken Momo",600
Kababish Restaurant,0,No,3.6outof5,,700
New Gongura's,0,No,3.7outof5,,550
C. K. Mega Hot Food,0,No,3.9outof5,,600
El Salver,0,Yes,3.9outof5,Fish Curry,700
New Friends,0,No,3.8outof5,"Fritters, Lasagne, Biryani, Fish, Pasta, Draught Beer, Hot Pot",900
Brother?s Bar & Kitchen,0,No,3.4outof5,,"1,000"
Cafe Fattoush,0,No,3.8outof5,,700
Royal Paris,0,No,3.9outof5,"Butter Chicken, Chicken Biryani","1,000"
Mecaf Family Restaurant,0,No,3.9outof5,"Biryani, Masala Papad, Chicken Grill, Dragon Chicken, Paratha, Roti, Chicken Curry",600
RBP Greens Garden,0,No,2.7outof5,,700
Punjabi Swag,0,No,3.9outof5,"Lassi, Murgh Lababdar, Makke Ki Roti, Chaap, Butter Paneer, Butter Chicken, Patiala Paneer",500
Hyderabadi Biryani Hub,0,No,3.6outof5,"Biryani, Raita",600
Shagun Sweets & Foods,0,No,3.5outof5,"Chaat, Chole Bhature, Raj Kachori, Thali, Rasmalai, Paratha, Pav Bhaji",400
Black Cup Cafe,0,No,3.6outof5,,400
Tandoor Garden,0,No,3.6outof5,"Tandoori Chicken, Butter Naan, Kadai Paneer, Pepper Chicken",350
Xpress Chai,0,No,3.7outof5,,150
Hang10 Resto N Cafe,0,No,3.8outof5,"Burgers, Chicken Grill, Faluda, French Fries, Sandwich",700
Modern Restaurant,0,No,3.1outof5,,450
Crown Resto,0,No,NEW,,600
Kabab Ghar,0,No,3.3outof5,,600
Sri Vishnu Park,0,No,3.8outof5,Masala Dosa,350
Yeti,0,No,3.7outof5,,300
The Biryani Story,0,No,4.4outof5,"Paneer Tikka, Mutton Biryani",600
Sai Mango Tree,0,No,3.6outof5,,500
New Surya Sweets & Snacks,0,No,3.5outof5,,300
Avon Bar & Kitchen,0,No,3.7outof5,,700
Aaccord Restaurant,0,No,NEW,,600
Krishna Vaibhava,0,No,3.5outof5,,350
Abhiruchi Hotel,0,No,3.5outof5,"Dum Biryani, Prawn Curry, Paneer Biryani, Chicken Boneless Biryani, Apollo Fish",600
Zam Zam Darbar,0,No,2.9outof5,"Shawarma, Biryani Combo, Chicken Grill",500
Kullad Cafe,0,No,3.9outof5,"Tea, Paratha, Poha, Coffee, Chai, Sandwiches, Maggi",200
Trippy Paradise,0,No,2.6outof5,,900
Indus Family Restaurant,0,No,3.8outof5,"Mutton Biryani, Thali",600
On The Nose,0,No,3.8outof5,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup",600
Mayur,0,No,3.6outof5,,500
Akshaya Grand,0,No,3.4outof5,,750
Brewz Coffee,0,No,3.0outof5,"Coffee, Sandwiches, Cappuccino",650
Bakers Town,0,No,3.6outof5,"Fries, Pasta, Chicken Burger, Sandwich, Burgers, Monster Burger",600
Cafe Orio,0,No,4.0outof5,"Sandwiches, Oreo Shake, Burgers, Pasta, Veg Burger, Paneer Tikka Sandwich, Oreo Milkshake",400
Kannoor Restaurant,0,No,3.1outof5,,500
Sai Abhiruchi,0,No,3.8outof5,"Dum Biryani, Dal Fry, Paneer Biryani",800
Dilish Kitchens,0,No,3.7outof5,Biryani,500
Champaran Spice,0,No,3.4outof5,,400
S.S Bangali Restaurant,0,No,NEW,,300
Tasty Magic,0,No,2.7outof5,"Shawarma, Chicken Grill, Biryani",600
Bawarchi Inn,0,No,3.1outof5,"Dum Biryani, Chicken Biryani, Rice, Roti, Mutton Biryani",600
Delight Food,0,No,2.7outof5,,450
Nandanam Family Restaurant,0,No,3.6outof5,,350
Swaadam Veg,0,No,3.6outof5,,300
BBQ Ride 46,0,No,3.4outof5,,200
Insta Cafe,0,No,2.9outof5,,400
Golden Grill Restaurant,0,No,3.5outof5,,550
Hotel Vedha,0,No,,,200
Bangali Babu Restaurant,0,No,,,250
Nile Garden Restaurant,0,No,2.6outof5,,500
Whooppeezz,0,No,4.0outof5,"Pasta, Mojito, Masala Lemonade, Nachos, Butter Chicken Pizza, Chocolate Pizza, Thin Crust Pizza",500
Invitation Bar & Restaurant,0,No,3.0outof5,,"1,000"
Smoothie Hub,0,No,,,400
WhatsUp 99 Variety Dosa,0,No,,,200
Flavour of China,0,No,3.8outof5,"Spring Roll, Chilli Chicken, Chowmein, Sweet Corn Chicken Soup, Dragon Chicken, Hakka Noodles, Chop Suey",550
New Grand Restaurant,0,No,3.1outof5,,500
New Andhra Spice,0,No,3.6outof5,,600
Rayalaseema Ruchulu,0,No,,,700
Chillout,0,No,,,200
Desi Vibes,0,No,3.7outof5,Malai Kofta,600
HungerLoft,0,No,2.5outof5,,800
Zanzibar - Davanam Sarovar Portico Suites,0,No,3.5outof5,,"1,200"
Aaharaa,0,No,,,300
Maruti Garden,0,No,,,450
Savandh's Kitchen - Donne Biryani,0,No,,,350
Anvar Bhai's,0,No,,,250
La Passion Cafe,0,No,,,500
Bhaijaan Barbeques,0,No,,,200
Melt,0,No,4.0outof5,"Burgers, Nachos, Fries, White Sauce Pasta, Cheese Pasta, Chicken Burger, Chicken Steak","1,000"
Hearts Unlock Cafe,0,No,3.2outof5,,500
Blue Berry Restaurant,0,No,2.9outof5,,600
Cafe Coffee Day,0,No,3.3outof5,,900
Cafe 221B,0,Yes,3.7outof5,,300
Hotel Orchid,0,No,,,500
Neer Dosa Fish Land,0,No,3.6outof5,,600
Seekers Cafe,0,No,3.6outof5,,500
Dash In,0,No,3.1outof5,"Butter Chicken, Noodles",600
De Street Cafe,0,No,3.6outof5,"Pasta, Chicken Steak, Burgers, Cold Coffee, Shawarma, Honey Chilli Fries",500
Cafe Hush,0,No,3.6outof5,,500
Hunger Buds,0,No,3.5outof5,,250
The Chef Restaurant,0,No,,,600
Amaravati Grand,0,No,3.4outof5,,550
Hyderabadi Biryani Corner,0,No,3.4outof5,,350
Amontron,0,No,3.9outof5,"Katla Kalia, Basanti Pulao, Biryani, Aloo Posto, Mutton Kosha, Ilish, Mutton Dak Bunglow",650
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,0,No,3.7outof5,Chicken Biryani,450
Ma-Arya Family Restaurant,0,No,3.1outof5,,600
Sri Durga Cane Fresh,0,No,3.4outof5,,100
Aha Juice Bar,0,No,3.6outof5,,200
Amravathi Restaurants & Caterers,0,No,3.1outof5,,400
Cafe Club Kerala Restaurant,0,No,,,300
Malnad Military Hotel,0,No,,,350
UKIYO,0,No,,,300
Shater Grill House,0,No,3.5outof5,,700
MK RESTAURANT,0,No,,,400
Venessa,0,No,NEW,,"1,200"
BTM,0,No,NEW,,400
Benzys,0,No,3.2outof5,,700
Shiva's Bar And Restaurant,0,No,NEW,,800
Nanna Munna,0,No,3.4outof5,,200
Bamboo Heights,0,No,3.7outof5,Friendly Staff,500
Zengi Pub & Restaurant,0,No,3.7outof5,,900
Biggies Burger 'n' More,0,No,3.8outof5,"Burgers, Fries, Hot Dog, Chicken Hotdog, Cuban Mojito, Cheese Burger, Grilled Burger",650
PHEW (Play Hard Eat Wild),0,Yes,3.9outof5,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings",700
The 90s Hash House,0,No,3.8outof5,"Burgers, Pasta, Hot Chocolate, Caramel Coffee",500
Eatery Have U Been,0,No,3.4outof5,,500
Chai Point,0,No,4.0outof5,"Chai, Masala Tea, Samosa, Banana Cake, Egg Puff, Ginger Tea",250
Odissi Restaurant,0,No,2.8outof5,"Egg Tadka, Roti, Veg Thali",500
Mughlai Kitchen,0,No,3.5outof5,"Momos, Oreo Shake",600
Krishna Sagar,0,No,3.9outof5,Masala Dosa,300
Sri Punjabi Dhaba,0,No,3.2outof5,,400
Pizza Hut,0,No,3.3outof5,,750
Cupp,0,No,NEW,,550
Grillopia,0,No,3.9outof5,"Burgers, Fries, Wood Fire Pizza, Nachos","1,000"
Yum In My Tum,0,No,4.1outof5,"Momos, Pizza Sandwich, Manchow Soup, Spring Roll, Noodles, Fries, Fried Rice",300
Namaste,0,No,NEW,,70
Biriyani Bhatti,0,No,3.7outof5,,400
Gyani Da Punjabi Dhaba,0,No,3.9outof5,"Lassi, Paratha, Paneer Parantha, Butter Chicken, Punjabi Chicken, Shahi Paneer, Chicken Kolhapuri",500
Bathinda Tandoor,0,No,NEW,,300
Heaven 2 Oven,0,No,NEW,,300
Awesome Foods,0,No,3.7outof5,,300
Kalingas,0,No,3.9outof5,"Rasgulla, Mutton Kosha, Chicken Kasha, Samosa Chaat, Kheer, Veg Thali",250
Muthashy's,0,No,4.2outof5,"Fish, Appam, Egg Roast, Kadala Curry, Chicken Curry, Beef Fry, Ghee Rice",400
Swadista Aahar,0,No,4.1outof5,"Panneer Butter Masala, Idli, Masala Dosa, Vada, Coffee, Roti, Thali",300
Kannur Food Point,0,No,4.0outof5,"Roast Chicken, Thalassery Biryani",200
Aramane Donne Biriyani,0,No,3.9outof5,"Egg Biryani, Donne Biryani",300
Ambur Star Briyani,0,No,3.5outof5,"Ambur Biryani, Mutton Biryani, Prawn, Raita, Brinjal Curry, Vegetable Biryani, Fish",400
The Shawarma Shop,0,No,4.1outof5,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",250
Litti Twist,0,No,4.2outof5,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai",300
KFC,0,No,3.9outof5,"Burgers, Chicken Bucket, Paneer Zinger Burger",400
Domino's Pizza,0,No,4.1outof5,Cheese Burst Pizza,400
YummRajj,0,No,3.3outof5,,500
Amaravati,0,No,3.6outof5,,400
Faasos,0,No,3.9outof5,"Rolls, Chicken Mayo, Bbq Chicken, Chocolate Fantasy, Paneer Roll, Fiery Paneer Tikka, Chicken Wrap",500
Appana Restaurant,0,No,3.5outof5,,300
Petoo,0,No,4.0outof5,,400
Darshan Paradise Restaurant,0,No,NEW,,250
The Cake Lair,0,No,3.5outof5,,600
Roti Wala,0,No,4.0outof5,"Gulab Jamun, Buttermilk, Egg Bhurji, Sprout Salad, Roti",300
Vyanjan,0,No,3.9outof5,"Poha, Jalebi, Paratha, Bhindi Masala, Kachori, Puri Sabzi, Samosa",300
Falooda Cafe,0,No,NEW,,200
Desi Aahar,0,No,NEW,,400
Ashirvaad Grand,0,No,4.0outof5,"Masala Dosa, Panneer Butter Masala",400
Manchu Cafe,0,No,3.8outof5,,300
New Tasty Cafeteria,0,No,3.8outof5,"Shawarma, Chicken Grill, Faluda",500
Nadan Thattukada,0,No,3.7outof5,,200
New Limra Hotel,0,No,3.4outof5,,200
Fogg,0,Yes,NEW,,200
Gorbandh,0,No,4.0outof5,"Aloo Paratha, Samosa, Kachori, Poha, Chaat",400
Just Sandwiches,0,No,3.6outof5,,100
Shri Ram Sweet Centre,0,No,4.0outof5,"Samosa, Dhokla, Ladoo, Sweet Kachori, Onion Kachori, Ghee Jalebi",150
Bangalore Star Biriyani,0,No,3.4outof5,,300
Tarbouche,0,No,3.8outof5,,300
JP Fish Land,0,No,3.6outof5,,300
Anda Ka Funda,0,No,3.2outof5,"Paratha, Rolls, Roti",250
Poha House,0,No,3.6outof5,,200
New South Corner,0,No,3.7outof5,,300
Kabab Magic,0,No,3.9outof5,"Chicken Grill, Biryani, Shawarma Roll, Rolls, Arabian Pulpy Grape Juice",500
Swad Punjab Da,0,No,4.1outof5,"Lassi, Roti, Veg Thali, Aloo Paratha, Egg Curry",150
RB Food Point,0,No,3.7outof5,,300
The Food Cottage,0,No,3.7outof5,,350
B2D Indori Dhaba,0,No,,,100
Taste Of Kolkata,0,No,3.1outof5,,400
Afghani Tandoori Hub,0,No,3.6outof5,,400
Bansuri Sweets,0,No,3.8outof5,"Chaat, Gulab Jamun, Panipuri, Samosa, Dhokla, Thali, Kachori",200
Pathaan Sir,0,No,3.9outof5,"Rolls, Momos, Paratha, Chicken Tikka Roll, Mutton Keema, Egg Roll",250
Just Shawarma,0,No,3.9outof5,Whole Meat Shawarma,300
Al Hayath,0,No,3.5outof5,,200
Khaja Point,0,No,NEW,,300
Chaatimes,0,No,3.4outof5,"Chaat, Dabeli, Panipuri",200
Sagar Fast Food,0,No,3.7outof5,"Idli, Masala Dosa",300
Eat N Pack,0,No,,,150
Zeeshan,0,No,2.8outof5,"Biryani, Rolls, Tandoori Chicken, Chicken Egg Roll, Laccha Paratha",700
Bake and Juice,0,No,3.5outof5,,400
Taste Of Malabar,0,No,3.6outof5,,350
Hungry Lee,0,No,4.1outof5,"Noodles, Nasi Goreng, Rolls, Kiwi Mojito, Brownie, Tom Yum Soup, Dumplings",500
Kairali,0,No,3.9outof5,"Beef Fry, Fish Fry, Appam, Masala Prawn, Egg Roast, Chicken Curry, Biryani",300
BTM Ghar ka Khana,0,No,3.7outof5,"Matar Paneer, Paratha, Chole Bhature, Lassi",200
Rolls On Wheels,0,No,3.5outof5,,200
Indori Chatorey,0,No,2.8outof5,"Kachori, Indori Poha, Cheese Paratha, Paneer Parantha, Thali, Poha Jalebi",300
Daniyal's,0,No,3.1outof5,,800
Joon Restaurant,0,No,3.7outof5,,400
The Biriyani Pedia,0,No,3.9outof5,"Chicken Stew, Ghee Rice, Chai, Beef Biryani",300
Body Temple,0,No,3.3outof5,,500
Rajveena Kitchen,0,No,3.7outof5,,500
Friends Chats Adda,0,No,NEW,,200
Hotel Udipi Krishna,0,No,NEW,,100
Amjad Bhai's Star Hotel - Home Food Only,0,No,NEW,,300
The Hungers Zone,0,No,3.8outof5,,300
Baba Ka Dhaba,0,No,3.7outof5,"Paratha, Butter Naan, Thali, Tandoori Roti, Lassi",400
RK Fresh Food,0,No,3.5outof5,,300
Royal Biryani Kitchen,0,No,3.9outof5,"Mutton Biryani, Dragon Chicken, Chicken Dum Biryani, Vegetable Biryani, Paneer Biryani",600
Rayaan's BBQ,0,No,3.3outof5,,350
Dev's Gugababa,0,No,3.5outof5,"Fish, Rasmalai, Doi Katla, Aalo Bhaja, Bhetki Paturi, Chicken Kasha, Aloo Posto",500
Funky Punjab,0,No,3.9outof5,"Roti, Dal Makhani, Lassi, Panneer Butter Masala, Kulcha, Masala Papad, Butter Chicken",400
Sri Nandi Grand,0,No,3.4outof5,,300
Bisimillah Biriyani,0,No,3.5outof5,,300
Kesar Sweet Shop and Fast Food,0,No,4.0outof5,"Chole Bhature, Puri Sabzi, Chaat, Panipuri, Rasmalai, Jalebi, Pav Bhaji",500
New Mahesh Friends Food Corner,0,No,3.3outof5,,300
Biryani Dawat,0,No,NEW,,400
Momo Time,0,No,,,600
Paratha Plaza,0,No,3.0outof5,"Paratha, Rajma",300
Arabian Bites,0,No,3.4outof5,,300
New Kabab Zone,0,No,3.5outof5,,500
McDonald's,0,No,3.6outof5,"Burgers, French Fries",500
Udupi Gokul Cafe,0,No,3.8outof5,"Filter Coffee, Pongal",300
Sri Devi Baker's,0,No,3.9outof5,"Ginger Tea, Chai, Coffee",200
Cafe Alchemist,0,No,3.8outof5,,300
Healthy Parathawala,0,No,NEW,,200
Veruthe Oru Thattukada,0,No,3.7outof5,,400
Kallummakkaya,0,No,NEW,,200
Sri Krishna Kitchen,0,No,3.6outof5,,400
Namma Kadai,0,No,3.4outof5,,150
Chokha Chowka,0,No,3.9outof5,"Chaat, Samosa, Thali, Sweet Lassi, Biryani, Egg Roll, Masala Paneer",400
Kapoor's Biriyani,0,No,3.3outof5,"Raita, Hyderabadi Biryani",400
Ammus Hot N Cool,0,No,3.4outof5,,300
Eat N Drink,0,No,3.8outof5,"Sandwiches, Fruit Juices, Burgers, Chicken Sandwich, Omelette, French Fries, Oreo Shake",250
The Bong Palate,0,No,3.8outof5,"Mutton Kosha, Basanti Pulao, Chicken Biryani",300
Stop N Joy,0,No,NEW,,150
Mini Adiga's,0,No,2.8outof5,,250
Nellore Dosa Camp,0,No,3.3outof5,,70
Ambur Dum Biryani,0,No,,,200
GFC Biryani,0,No,,,300
Hyderabad Biriyani House,0,No,,,400
Omleterian,0,No,,,200
Sri Saravana Bhavan,0,No,3.7outof5,,200
Fillers,0,No,3.9outof5,"Pizza Parantha, Chai, Paratha, Fries, Cheese Maggi, Rajma Chawal",300
Kafe Nook,0,No,3.6outof5,,300
Gangothri Kabab Corner,0,No,3.1outof5,,400
Thalassery Cafe,0,No,3.4outof5,,150
Nawab-E-Khana,0,No,3.2outof5,,500
Kataria's Home Food,0,No,3.1outof5,"Dal Makhani, Rice, Buttermilk",400
The Biriyani Factory,0,No,3.1outof5,,500
Bisimillah Biriyani's & Kebab's,0,No,3.3outof5,,300
SS Hot Dhum Briyani Point,0,No,,,200
Cafe 58,0,No,3.4outof5,,200
Samosa King,0,No,3.4outof5,,200
Five Star Chicken,0,No,3.5outof5,,350
Chicken Magic,0,No,3.7outof5,,300
Tongue Twisters,0,No,3.5outof5,"Veg Thali, Fish Thali",350
Apna Punjab,0,No,3.6outof5,"Thali, Egg Masala, Chole, Paratha, Roti, Butter Chicken, Paneer Manchurian",450
Ghee Biryani House,0,No,3.1outof5,,400
Udupi Thaja Thindi,0,No,2.9outof5,"Masala Dosa, Vada, Filter Coffee",250
Chatter Platter,0,No,3.4outof5,,300
Habitts,0,No,3.7outof5,Nutella Waffle,450
Snack Knack,0,No,3.0outof5,,200
Al Habibi Restaurant,0,No,3.5outof5,,300
Indian Paratha Factory,0,No,2.9outof5,,250
Sher-E-Punjab,0,No,3.2outof5,,400
Speedbreaker,0,No,3.4outof5,,300
Totus,0,No,NEW,,300
Tandoor Nation,0,No,3.0outof5,,400
Multi Kitchen,0,No,,,300
Desi Vdesi,0,No,3.8outof5,,250
Miss Momo,0,No,3.2outof5,,250
Mangalore Lunch Home,0,No,3.6outof5,,250
Indian Kitchen Eateries-IKE,0,No,3.4outof5,,150
Jigarthanda,0,No,3.6outof5,,200
Spice Taj,0,No,,,300
Kolakata Biryani Cafe,0,No,,,400
Basava Hotel,0,No,,,200
Ammayi Thakkaram,0,No,,,400
Nanu's Shawarma,0,No,,,300
Udupi Thadka,0,No,,,250
Sri Venkateswara Andra Mess,0,No,,,120
Yaduvanshi Hotel,0,No,,,300
Peshawari Zaika,0,No,,,300
Swad Plaza,0,No,3.4outof5,,400
Sri Sankara Cafe,0,No,3.6outof5,,100
Limra Hotel,0,No,3.3outof5,,300
Borah's Kitchen,0,No,3.3outof5,,250
Magix's Parattha Roll,0,No,3.7outof5,"Rolls, Chicken Roll, Tandoori Chicken, Biryani, Chicken Lollipop, Paratha, Chicken Grill",400
Meat And Eat,0,No,3.1outof5,,500
Khan's Biryani,0,No,3.0outof5,,300
Armaani Caffe,0,No,3.5outof5,,250
Chicken Corner,0,No,3.7outof5,,400
Subway,0,No,,,600
Hungry Buddies,0,No,3.3outof5,,150
HOTEL VKM,0,No,,,300
RCS Kitchen,0,No,3.3outof5,,500
Tomago Roast,0,No,3.5outof5,,400
Singh Punjabi Dhaba,0,No,3.8outof5,,400
Healthy Parathawala,0,No,NEW,,200
Sri Vishnupriya,0,No,3.0outof5,"Masala Dosa, Plain Dosa",300
Punjabi Daawat,0,No,2.4outof5,"Lassi, Soya Chaap, Fish, Masala Papad",550
Aarya Pork Hotel,0,No,3.3outof5,,300
Sri Krishna Sagar,0,No,3.6outof5,,200
Hotel Adhvi,0,No,,,150
Mast Biryani,0,No,,,300
Apna Odisha Kolkatta Hotel,0,No,,,400
Bihari Food Corner,0,No,,,250
Navaruchi,0,No,,,350
Dribzz Bakes & Cafe,0,No,,,200
Regal Cafe,0,No,,,200
Y Not Shawarma,0,No,,,300
Shawarma Hunt,0,No,,,300
Vibe Club,0,No,,,300
Ayush Reddy Tiffins & Fast Food Center,0,No,,,300
RK Fast Food,0,No,,,300
Dhe Chef Cafe,0,No,,,200
Hotel Sri Kumar Bhavan,0,No,,,200
Paradise Food Court,0,No,,,400
Foodiction,0,No,,,500
Foodies Club,0,No,3.4outof5,,300
Shawarma Corner,0,No,,,100
Royal Dine Family Restaurant,0,No,,,400
Chai Makhan,0,No,,,300
Mirchi- The Indian Street Food Kitchen,0,No,,,150
SS Hot Dum Briyani Point,0,No,,,300
Zed Cafe,0,No,,,350
RGS Ambur briyani,0,No,,,300
Salkara Malabar Kitchen,0,No,NEW,,300
Delicious Mom's Kitchen,0,No,NEW,,200
Chorum Curryum,0,No,NEW,,250
Crunch Pizzas,0,No,2.6outof5,"Pie, Thin Crust Pizza, Cheesy Pizza, Pepperoni Pizza, Paneer Pizza",600
Green Mango Restaurant,0,No,,,300
Pakiza Dilli Darbar Restaurant,0,No,3.2outof5,,300
Red Chilli,0,No,,,400
Sri Krishna Delight,0,No,,,250
Biryani Magic,0,No,3.5outof5,,300
Sri Srinivas Park Hotel,0,No,NEW,,300
2nd Home Restaurant,0,No,3.7outof5,,500
Naati Biriyani,0,No,3.1outof5,,300
FoodNite,0,No,,,350
Royal's Biryani,0,No,,,300
The Cuboidal,0,No,3.6outof5,,300
Pan Asian,0,No,NEW,,500
Deepam Tiffins,0,No,,,300
Joey's,0,No,3.7outof5,,300
Pout,0,No,4.0outof5,"Shawarma, Chicken Grill",400
Chettinad Food House,0,No,3.1outof5,,300
Kaaka T Cafe,0,No,3.5outof5,,400
Food Junction,0,No,3.5outof5,Paratha,400
Boston Barista - Kappayum Curriyum,0,No,3.7outof5,,350
Desi Wok,0,No,2.7outof5,"Biryani, Manchow Soup, Naan",500
Namana Garden,0,No,2.6outof5,Vada,400
Shaahi Mezbaan Restaurant,0,No,3.1outof5,,350
Gelato Pazzo,0,No,3.8outof5,,200
Hotel Meed Cafe,0,No,3.2outof5,,250
Karavali Lunch Home,0,No,3.3outof5,,200
Bruncherz,0,No,3.5outof5,,200
What the Food,0,No,3.6outof5,,250
Thani Nadan Food,0,No,,,300
Sri Udupi Sagar,0,No,3.5outof5,,200
Around The Corner,0,No,3.6outof5,,350
Falafel Bistro,0,No,,,300
Biriyani Angadi,0,No,3.2outof5,,200
Tandoor Hub & Golmaal Paratha,0,No,3.2outof5,,450
Tummy Delight,0,No,3.5outof5,,400
Singh Da Dhaba,0,No,3.3outof5,,400
Strategic Timeout Cafe,0,No,,,300
New Farm Fresh,0,No,3.6outof5,Wood Fire Pizza,650
Hot Burg,0,No,3.5outof5,,300
Yummerica Fries,0,No,3.3outof5,,300
Amrutha Mess,0,No,3.4outof5,,300
Ande Ka Funda,0,No,2.8outof5,"Aloo Paratha, Ande Ka Funda",250
Desi Adda,0,No,3.3outof5,,300
Two States,0,No,3.4outof5,,250
Sri Sapana Dhaba,0,No,3.3outof5,,250
Dine in Restaurant,0,No,3.4outof5,,500
Sri Sharana Basaveshwara Khanavali,0,No,,,200
Adithya Family Restaurant,0,No,3.7outof5,,250
Top Foam Parantha Roll & Juice Centre,0,No,3.5outof5,,300
Basawa Hotel,0,No,3.4outof5,,250
Ambur Azad Darbar,0,No,3.2outof5,,250
Ambur Biriyani Point,0,No,3.6outof5,,150
Gobi Gate,0,No,3.2outof5,,200
YummyyDoz,0,No,,,200
Hello Dish Biriyani,0,No,,,200
The Uptown,0,No,,,300
Fast N Food,0,No,,,250
Shawarma Bae,0,No,3.3outof5,,200
Swad Now - The Biriyani Factory,0,No,,,400
Brew Cafe,0,No,3.2outof5,,300
Friend's Kitchen,0,No,3.5outof5,,150
Chutneys Tiffin Center,0,No,,,300
Five Star New Ambur Biryani,0,No,,,300
Bismillah Restaurant,0,No,,,200
Chatori Zuban,0,No,,,200
Cee Yem,0,No,,,300
Chinese Corner,0,No,,,300
South Side,0,No,3.3outof5,,250
Santhrupthi Halli Mane,0,No,,,500
Coal Grill & Cafe,0,No,3.3outof5,,300
Barkat,0,No,3.4outof5,,250
Hyderabadi Biryani House,0,No,NEW,,300
Cafe Sulaimani,0,No,NEW,,300
Eaternet,0,No,3.6outof5,,300
Sri Sai Restaurant,0,No,,,300
Tit Bits,0,No,,,400
Desi Urbane,0,No,3.6outof5,,450
Rayalaseema Abhiruchulu,0,No,NEW,,250
Shawarma Bite,0,No,NEW,,200
GR Foods,0,No,NEW,,350
Jordan Cafe,0,No,,,400
Ice N Spice,0,No,NEW,,300
Svadu Sweets,0,No,3.3outof5,,150
C K Bake & Juice,0,No,3.1outof5,,150
The Grand Kitchen Restaurant,0,No,NEW,,400
Hotel Mirchi Red,0,No,3.0outof5,,400
My Dabeli & My Pizza,0,No,3.4outof5,,400
New Shetty Lunch Bhavan,0,No,NEW,,300
Food And You,0,No,3.9outof5,,350
RSS Donne Biryani,0,No,3.3outof5,,300
Chettayees,0,No,3.4outof5,"Puttu Biryani, Egg Roast",400
Mongolian Kitchen,0,No,3.8outof5,,500
Dum Biryani Hub,0,No,3.9outof5,,700
Pappu Chaiwalla,0,No,3.1outof5,"Ginger Chai, Ginger Tea, Pakoda, Paratha, Maggi, Pav Bhaji, Sulemani Chai",350
New Punjabi Hotel,0,No,3.7outof5,"Tandoori Chicken, Butter Chicken, Tandoori Roti, Bhindi Masala, Paratha, Dal Makhani",400
Grill N Chill,0,No,3.1outof5,,400
Bay Root,0,No,3.7outof5,,400
Hunger2Eat,0,No,3.7outof5,,400
Ande Ka Funda,0,No,3.5outof5,,200
Marunadan Kada,0,No,3.3outof5,,250
Al-Marhaba Restaurant,0,No,NEW,,400
